Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link_0,1.8391E-10,0.0020589,-0.0020589,0,0,0,1.3204,0.0012571,9.8485E-06,9.8486E-06,0.0011765,-1.5478E-06,0.0011765,0,0,0,0,0,0,package://bigma7ax0514_description/meshes/Link_0.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bigma7ax0514_description/meshes/Link_0.STL,,eRob80H××T-XX-18EX_V5-3;crutch0514-1;eRob80H××T-XX-18EX_V5-2,Coordinate System0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_11,0.0056387,4.2884E-05,0.0945,0,0,0,0.47847,0.00051302,7.739E-07,-9.9272E-06,0.00053843,-7.8628E-08,0.00051554,0,0,0,0,0,0,package://bigma7ax0514_description/meshes/Link_11.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bigma7ax0514_description/meshes/Link_11.STL,,eRob80H××T-XX-18EX_V5-4,Coordinate System11,Axis11,Joint_11,revolute,0.055,0,0,-3.1416,0,0,Link_0,0,0,1,500,0.25,-3.14,3.14,,,,,,,,
Link_12,6.8514E-06,-0.00090192,0.2043,0,0,0,2.9949,0.019906,-7.739E-07,-7.8624E-08,0.01988,1.2988E-05,0.0039461,0,0,0,0,0,0,package://bigma7ax0514_description/meshes/Link_12.STL,0.68627,0.65882,0.63922,1,0,0,0,0,0,0,package://bigma7ax0514_description/meshes/Link_12.STL,,rightthy-2;eRob80H××T-XX-18EX_V5-6,Coordinate System12,Axis12,Joint_12,revolute,0,0,0.098,1.5708,0,1.5708,Link_11,0,0,1,500,0.25,-3.14,3.14,,,,,,,,
Link_13,-4.2884E-05,0.0056387,0.0945,0,0,0,0.47847,0.00053843,-7.7389E-07,7.8621E-08,0.00051302,-9.9272E-06,0.00051554,0,0,0,0,0,0,package://bigma7ax0514_description/meshes/Link_13.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bigma7ax0514_description/meshes/Link_13.STL,,eRob80H××T-XX-18EX_V5-7,Coordinate System13,Axis13,Joint_13,revolute,0,0,0.35,1.5708,0,0,Link_12,0,0,1,500,0.25,-3.14,3.14,,,,,,,,
Link_14,-7.9199E-09,0.0039366,0.065641,0,0,0,1.0871,0.0057589,-1.3541E-10,-1.1489E-10,0.0064158,-4.1912E-05,0.012031,0,0,0,0,0,0,package://bigma7ax0514_description/meshes/Link_14.STL,0.68627,0.65882,0.63922,1,0,0,0,0,0,0,package://bigma7ax0514_description/meshes/Link_14.STL,,newcraw-1,Coordinate System14,Axis14,Joint_14,revolute,0,0,0.098,1.5708,0,3.1416,Link_13,0,0,1,500,0.25,-3.14,3.14,,,,,,,,
Link_21,-0.00090192,-6.8514E-06,0.2043,0,0,0,2.9949,0.01988,7.739E-07,1.2988E-05,0.019906,7.8624E-08,0.0039461,0,0,0,0,0,0,package://bigma7ax0514_description/meshes/Link_21.STL,0.68627,0.65882,0.63922,1,0,0,0,0,0,0,package://bigma7ax0514_description/meshes/Link_21.STL,,rightthy-1;eRob80H××T-XX-18EX_V5-5,Coordinate System21,Axis21,Joint_21,revolute,-0.055,0,0,1.5708,0,3.1416,Link_0,0,0,-1,500,0.25,-3.14,3.14,,,,,,,,
Link_22,-4.2884E-05,0.0056387,0.0945,0,0,0,0.47847,0.00053843,-7.7389E-07,7.8621E-08,0.00051302,-9.9272E-06,0.00051554,0,0,0,0,0,0,package://bigma7ax0514_description/meshes/Link_22.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bigma7ax0514_description/meshes/Link_22.STL,,eRob80H××T-XX-18EX_V5-8,Coordinate System22,Axis22,Joint_22,revolute,0,0,0.35,1.5708,0,-1.5708,Link_21,0,0,1,500,0.25,-3.14,3.14,,,,,,,,
Link_23,-7.9199E-09,0.0039366,0.065641,0,0,0,1.0871,0.0057589,-1.3541E-10,-1.1489E-10,0.0064158,-4.1912E-05,0.012031,0,0,0,0,0,0,package://bigma7ax0514_description/meshes/Link_23.STL,0.68627,0.65882,0.63922,1,0,0,0,0,0,0,package://bigma7ax0514_description/meshes/Link_23.STL,,newcraw-2,Coordinate System23,Axis23,Joint_23,revolute,0,0,0.098,1.5708,0,-3.1416,Link_22,0,0,-1,500,0.25,-3.14,3.14,,,,,,,,
