Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link_0,0.00037477,0.0023479,0.025602,0,0,0,0.66851,0.0013719,-1.22E-08,2.65E-06,0.0014206,-2.23E-05,0.00098721,0,0,0,0,0,0,package://bigmama9/meshes/Link_0.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bigmama9/meshes/Link_0.STL,,?????-1;??? -1;????-1;????-2;????-3,Coordinate_0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,0.12,-5.02E-14,0.015,0,0,0,0.2828,0.0001953,-1.34E-20,1.90E-17,0.0027507,1.34E-21,0.0029223,0,0,0,0,0,0,package://bigmama9/meshes/Link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bigmama9/meshes/Link_1.STL,,?????-1,Coordinate_1,Axis_1,Joint_1,revolute,0,-0.022,0.155,1.5708,-1.5708,0,Link_0,0,0,-1,100,0.1,-3.14,3.14,,,,,,,,
Link_2,0.097793,7.22E-15,-0.051815,0,0,0,0.34706,0.00034654,-3.15E-18,0.00024386,0.003656,3.56E-19,0.0038143,0,0,0,0,0,0,package://bigmama9/meshes/Link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bigmama9/meshes/Link_2.STL,,?????-1,Coordinate_2,Axis_2,Joint_2,revolute,0.24,0,0,0,0,0,Link_1,0,0,-1,100,0.1,-3.14,3.14,,,,,,,,
Link_3,0.1294,0.00037477,0.024348,0,0,0,0.66851,0.00098721,-2.65E-06,2.23E-05,0.0013719,-1.24E-08,0.0014206,0,0,0,0,0,0,package://bigmama9/meshes/Link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bigmama9/meshes/Link_3.STL,,????? - Copy-1;??? -1;????-5;????-6;????-4,Coordinate_3,Axis_3,Joint_3,revolute,0.24,0,-0.044,0,0,0,Link_2,0,0,1,100,0.1,-3.14,3.14,,,,,,,,
