Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link_0,-0.0036197,-0.0088605,0.1449,0,0,0,0.80666,0.0014974,-1.2947E-05,1.4235E-05,0.0014446,-7.5473E-06,0.0010286,0,0,0,0,0,0,package://bigmama0225/meshes/Link_0.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bigmama0225/meshes/Link_0.STL,,真空泵简易-1;下脚架 -1;下小腿Plus-1;吸盘单位-2;吸盘单位-1;吸盘单位-3,Coordinate0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_1,-6.6613E-16,0.12,0.014813,0,0,0,0.28238,0.0027445,2.7198E-20,5.9863E-21,0.00019508,-4.6982E-20,0.0029159,0,0,0,0,0,0,package://bigmama0225/meshes/Link_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bigmama0225/meshes/Link_1.STL,,下大腿简化-1,Coordinate1,Axis1,Joint_1,revolute,0.022,0,0.27042,1.5708,0,1.5708,Link_0,0,0,-1,100,1,-3.14,3.14,,,,,,,,
Link_2,1.1102E-16,0.098184,-0.051898,0,0,0,0.34516,0.0036332,3.4189E-18,-4.4191E-19,0.00034405,0.00024115,0.0037914,0,0,0,0,0,0,package://bigmama0225/meshes/Link_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bigmama0225/meshes/Link_2.STL,,上大腿简化-1,Coordinate2,Axis2,Joint_2,revolute,0,0.24,0,0,0,0,Link_1,0,0,-1,100,1,-3.14,3.14,,,,,,,,
Link_3,0.0088614,0.12552,0.025619,0,0,0,0.80659,0.0014442,-7.5611E-06,-1.2945E-05,0.0010285,1.4228E-05,0.001497,0,0,0,0,0,0,package://bigmama0225/meshes/Link_3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bigmama0225/meshes/Link_3.STL,,吸盘单位-5;吸盘单位-4;吸盘单位-6;上脚架 -1;上小腿Plus -1;真空泵简易-2,Coordinate3,Axis3,Joint_3,revolute,0,0.24,-0.0442,0,0,0,Link_2,0,0,1,100,1,-3.14,3.14,,,,,,,,
